Region,Country,Indicator I,Priority candidate (I),Indicator II,Gate (Indicator III),Effective Indicator I,Effective Indicator II,Note (Indicator I)
Asia,India,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 14 (""the State shall not deny to any person equality before the law"") is universal wording, but its practical unamendability rests entirely on the judicially-created ""basic structure doctrine"" (Kesavananda Bharati, 1973), not a textual entrenchment clause — Art. 368 (the amendment power) itself contains no textual entrenchment list. Fails §6.9.2/§6.9.3's textual/domestic-procedure framing as currently understood."
Asia,Indonesia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 27(1) limits equality before the law/government to 'citizens,' while Articles 28D(1) and 28I(2) extend broader protection to 'every person' against discrimination 'on any grounds whatsoever' — a split framing that doesn't cleanly satisfy the universal wording requirement. Article 37(5) entrenches only the unitary form of the state, not the equality provisions."
Asia,Iran,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 19 addresses 'all people of Iran, whatever the ethnic group or tribe,' while Article 20's fuller equal-protection guarantee is limited to 'citizens' and conditioned on conformity 'with Islamic criteria.' Article 12 entrenches Twelver Shi'a Islam as 'eternally immutable,' but no equivalent entrenchment protects the equality clauses themselves."
Asia,Iraq,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 14 provides equality for 'Iraqis' — broad grounds but limited to Iraqis, not all persons. Article 126 gives Article 14 heightened protection (two electoral terms, two-thirds vote, referendum, presidential ratification to amend) — a very demanding procedure, but not an absolute bar."
Asia,Israel,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Israel has no single codified constitution; it relies on Basic Laws. No Basic Law or statute currently contains a general 'all persons equal before the law' guarantee — courts have inferred elements of equality from the Basic Law: Human Dignity and Liberty's dignity clause, but a standalone universal equality provision does not exist in enacted law. Since no such clause exists, there is nothing to be entrenched."
Asia,Japan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 14 provides 'All of the people are equal under the law' — satisfies universal wording, though ethnicity/ancestry are covered only loosely via 'family origin.' Article 96 subjects the entire constitution to amendment via a two-thirds Diet vote plus referendum; no provision, including Article 14, is designated unamendable."
Asia,Jordan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 6(1) provides equality for 'Jordanians' — limited to citizens, with a narrower grounds list (race, language, religion only). No entrenched-provisions clause covering Article 6 was found."
Asia,Kazakhstan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 14 provides 'Everyone shall be equal before the law and court' — strongly universal wording with broad grounds. The entrenchment clause, Article 91(2), protects only state independence, unitary status, territorial integrity, the form of government, and the First President's status — not Article 14, which remains ordinarily amendable."
Asia,Kuwait,UNKNOWN,Yes,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 29 provides 'People are equal in human dignity, and equal before the law in public rights and duties' — phrased around 'people,' reasonably universal. Article 175 bars any proposed revision to provisions on the Amiri system and 'the principles of liberty and equality' except to raise the level of guarantees — a strong one-directional entrenchment. It is unconfirmed whether Article 175 protects itself from prior repeal (which could allow a two-step circumvention), so an absolute bar cannot be confirmed — flagged as one of the strongest mechanisms found, but UNKNOWN."
Asia,Kyrgyzstan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 24 provides 'everyone' is 'equal before the law and the courts' — broad, universal wording. No eternity clause was found; Article 56(2)'s bar on laws that 'abolish or diminish human rights' constrains ordinary legislation, not constitutional amendment, and no provisions are listed as unamendable."
Asia,Laos,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,Article 35 limits equality before the law to 'Lao citizens' — citizens-only wording. No unamendable provisions were identified; the National Assembly has unrestricted amendment power by a two-thirds vote.
Asia,Lebanon,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 7 provides equality for 'All Lebanese' — limited to nationals, without an enumerated grounds list. No formal entrenchment protects Article 7; ordinary amendment procedures apply without carve-outs."
Asia,Malaysia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 8(1) provides 'All persons are equal before the law' — genuinely universal wording with a solid grounds list. However, Article 159(5) entrenches only Article 1, Article 153 (special position of Malays/Bumiputera) and Article 181 (Rulers' sovereignty) — Article 8 is not on that protected list and has in fact been amended before."
Asia,Maldives,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 20 ('every individual is equal before and under the law') and Article 17(1) use universal, non-citizen-limited wording. But the only clearly entrenched feature is Article 10 (Islam as state religion), not the equality clause, and the People's Majlis can amend the constitution by ordinary procedure under Article 70(2)(a) with no unamendable-provision list found."
Asia,Mongolia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 14 ('All persons lawfully residing within Mongolia shall be equal before the law and the courts') is universal wording. However, the constitution has no eternity clause, and Articles 68-69 give a clear domestic amendment path (3/4 State Great Hural vote, with a referendum option)."
